count,max,mean,median,min,percentile_25,percentile_50,percentile_75,std,substrate
99,0.39587688446,0.297238243951,0.298416912556,0.201825618744,0.268176451325,0.298416912556,0.327218711376,0.0454470818986,boulders
21,0.446577221155,0.276805287316,0.269793868065,0.182138755918,0.243881598115,0.269793868065,0.301748543978,0.0569407789323,boulders
47,0.429119288921,0.377612621226,0.385145187378,0.287956982851,0.351970374584,0.385145187378,0.417220085859,0.0418890527963,sand
36,0.483719259501,0.412407954534,0.417115926743,0.32587787509,0.38849978894,0.417115926743,0.442657418549,0.0345699680041,sand
29,0.442817360163,0.366027634719,0.355777651072,0.304914534092,0.334927678108,0.355777651072,0.394302248955,0.041263727775,sand/gravel
29,0.467637419701,0.391503235389,0.400183945894,0.301578938961,0.365436255932,0.400183945894,0.419927448034,0.0400753445468,sand
94,0.459140986204,0.277439320341,0.26407045126,0.159210860729,0.242954503745,0.264070466161,0.30651716888,0.0563346725829,gravel/boulders
15,0.431044459343,0.358339564006,0.371627122164,0.246942698956,0.3332901299,0.371627122164,0.38602130115,0.0535505706662,sand/gravel
22,0.389766901731,0.287041425705,0.279664248228,0.209082305431,0.260950289667,0.279664248228,0.308908395469,0.0477637346467,gravel
15,0.417029380798,0.351982975006,0.349770784378,0.276016265154,0.312145873904,0.349770784378,0.391460642219,0.0480033063459,sand/gravel
51,0.497296690941,0.407483792772,0.41008245945,0.308994054794,0.382959216833,0.41008245945,0.427510261536,0.0395433645475,sand
44,0.47787541151,0.393362912265,0.392343878746,0.31084471941,0.372887179255,0.392343863845,0.411217980087,0.0353028531275,sand
34,0.438817232847,0.307990298552,0.301004052162,0.222145333886,0.266434766352,0.301004052162,0.341616287827,0.0586089636706,gravel/boulders
16,0.382211774588,0.327595442533,0.345682471991,0.25656747818,0.300192460418,0.345682471991,0.353264920413,0.0377642382158,sand/gravel
12,0.347274303436,0.270685772101,0.2632201612,0.202315792441,0.257563367486,0.2632201612,0.282040931284,0.0342081038124,gravel
6,0.298737049103,0.259315848351,0.254562139511,0.226017743349,0.232129912823,0.254562139511,0.286663159728,0.0293397920622,gravel
58,0.522681832314,0.426287190668,0.435896992683,0.227037400007,0.404866270721,0.435896977782,0.474861428142,0.0647536665935,sand
10,0.404849976301,0.31205701828,0.281733721495,0.235521495342,0.274888023734,0.281733721495,0.362459518015,0.0595886033903,gravel
14,0.484018683434,0.409659385681,0.398584872484,0.319150805473,0.371726714075,0.398584872484,0.450549297035,0.0497911237479,sand
108,0.493135035038,0.41065286707,0.414492487907,0.2655813694,0.396203108132,0.414492473006,0.436259366572,0.0402520593825,sand
31,0.428641796112,0.323339831445,0.325998961926,0.223195493221,0.285093873739,0.325998961926,0.35196441412,0.0495201510876,sand/gravel
20,0.454649865627,0.35931353569,0.365437239408,0.243360057473,0.338444709778,0.365437239408,0.392158821225,0.0512740375091,sand/gravel
87,0.517958402634,0.336894440925,0.33154079318,0.246537640691,0.304091542959,0.33154079318,0.369414493442,0.048323527116,gravel/boulders
64,0.55951333046,0.418153584003,0.423278093338,0.307668745518,0.366483196616,0.423278093338,0.470701426268,0.0620539763913,sand
31,0.430602073669,0.325947177026,0.321749031544,0.238600611687,0.2952606529,0.321749031544,0.370307043195,0.0476289141521,gravel/sand
37,0.401460587978,0.33051088694,0.343425601721,0.204930141568,0.298492223024,0.343425601721,0.371498078108,0.0477961965153,gravel
16,0.466821104288,0.394261389971,0.384218931198,0.341169118881,0.360447525978,0.384218931198,0.423196792603,0.0375522993652,sand/gravel
69,0.439299225807,0.370118237924,0.368799716234,0.269966721535,0.345770448446,0.368799716234,0.398617506027,0.0371793605592,gravel
49,0.460973381996,0.37966732103,0.377475470304,0.292343586683,0.352806538343,0.377475470304,0.405473649502,0.0350748578954,sand/gravel
21,0.469716995955,0.402356193179,0.400051146746,0.321690797806,0.386789649725,0.400051146746,0.429434090853,0.0327902988962,sand
20,0.465791195631,0.384052181244,0.375586569309,0.342338323593,0.35998557508,0.37558658421,0.402584739029,0.0322530357676,sand
6,0.448867738247,0.410937786102,0.399270623922,0.386341482401,0.397302746773,0.399270623922,0.426239706576,0.0226837907294,sand
8,0.447426646948,0.422004193068,0.419732511044,0.392021656036,0.412991426885,0.419732496142,0.431020915508,0.0171129703693,sand
34,0.490413308144,0.401013009688,0.40158200264,0.324900984764,0.373713865876,0.401582017541,0.42004763335,0.0368768447159,sand/gravel
17,0.454217523336,0.41392845266,0.413809448481,0.368026793003,0.404139429331,0.413809448481,0.429001629353,0.0226597007424,gravel
35,0.490335226059,0.411094556536,0.404623508453,0.331905394793,0.388730704784,0.404623508453,0.435219675303,0.0354530939096,sand/gravel
26,0.480451464653,0.398096231314,0.398146212101,0.296076238155,0.384785413742,0.398146212101,0.418597631156,0.0403538266399,sand
35,0.430204153061,0.355275671823,0.350417196751,0.273530215025,0.331716611981,0.350417196751,0.375255331397,0.0328242820654,sand/gravel
14,0.458180069923,0.373131820134,0.376862317324,0.245274662971,0.362422093749,0.376862317324,0.419148974121,0.0646817924632,sand
11,0.419147402048,0.342471296137,0.32799705863,0.285575717688,0.312875583768,0.32799705863,0.370947986841,0.0418900356639,sand
19,0.421576678753,0.348675778038,0.356574475765,0.213713884354,0.339011862874,0.356574475765,0.376834824681,0.0491051374214,sand/gravel
27,0.398990005255,0.329525523716,0.333616107702,0.252189278603,0.310765683651,0.333616107702,0.353330269456,0.0381414240361,gravel
17,0.43571510911,0.361000285429,0.347940683365,0.292487323284,0.331304103136,0.347940683365,0.399570077658,0.0424024148517,gravel
29,0.395598471165,0.323264417977,0.327714174986,0.248615086079,0.280506938696,0.327714174986,0.358720928431,0.0436068585535,gravel
15,0.375593096018,0.318727906545,0.325423598289,0.230923682451,0.303166165948,0.325423598289,0.340778782964,0.0333317657664,gravel/boulders
8,0.330787301064,0.305979758501,0.30521261692,0.283312082291,0.290743723512,0.30521261692,0.322019264102,0.0173857457159,gravel
9,0.391965180635,0.326051367654,0.338486850262,0.244620740414,0.306970089674,0.338486850262,0.346574634314,0.0427567487758,sand
