count,max,mean,median,min,percentile_25,percentile_50,percentile_75,std,substrate
99,13.5799589157,6.34062426018,6.3329205513,2.9517891407,4.98708415031,6.3329205513,7.63858819008,1.96846074769,boulders
21,8.59399032593,6.43685622442,6.62089252472,3.98768830299,5.87132167816,6.62089252472,7.04526090622,1.25560615601,boulders
47,11.4527168274,3.45719422685,2.93767929077,2.03377056122,2.41804230213,2.93767929077,4.13013744354,1.61220882066,sand
36,3.96100258827,2.61078029209,2.60875082016,1.73254621029,2.41579949856,2.60875070095,2.85573589802,0.429354571183,sand
29,4.64695215225,3.4231851512,3.41858267784,2.02933526039,2.84597873688,3.41858267784,4.18252468109,0.787997526497,sand/gravel
29,4.20903301239,2.81310561608,2.66942858696,1.72897493839,2.47790384293,2.66942858696,3.20346808434,0.536124593671,sand
94,10.3355045319,6.44621179459,6.49077701569,1.75107622147,5.33827006817,6.49077701569,7.40420246124,1.65823369594,gravel/boulders
15,9.15335464478,4.25667902629,3.59359335899,2.48155212402,2.94486427307,3.59359335899,5.24304413795,1.72989134522,sand/gravel
22,7.48575115204,5.97939023105,6.06481456757,2.23951888084,5.57726752758,6.06481432915,6.85033845901,1.15377036958,gravel
15,6.3501996994,4.04705708822,3.50673675537,2.29226851463,2.98569464684,3.50673675537,5.038885355,1.22916453226,sand/gravel
51,4.93418121338,2.61656039369,2.60597586632,1.51988005638,2.21791553497,2.60597586632,2.78099405766,0.63682046012,sand
44,4.42190647125,2.79431516474,2.74093770981,1.84009301662,2.45200031996,2.7409375906,3.10223335028,0.48280756728,sand
34,9.06062030792,5.32679120232,5.61143302917,2.02585124969,3.82072031498,5.61143326759,6.25702035427,1.79084721774,gravel/boulders
16,7.1942358017,4.84107971191,4.85141468048,2.85813236237,3.78944039345,4.85141444206,5.51933288574,1.24183665086,sand/gravel
12,7.17464971542,5.7354259491,5.99590206146,3.34789061546,4.90830147266,5.99590182304,6.41134083271,1.04314976209,gravel
6,8.35658550262,6.88591512044,6.60077238083,5.64336919785,5.87595522404,6.60077238083,8.00992512703,1.13701200828,gravel
58,6.8243265152,2.56570513495,2.03216218948,1.32127511501,1.76449117064,2.03216230869,2.94972074032,1.2083172062,sand
10,7.88237571716,5.20935821533,5.14938592911,2.31809806824,3.91950649023,5.14938592911,6.98657405376,1.87397243781,gravel
14,3.99992775917,2.50850731986,2.2390127182,1.83392190933,2.16648256779,2.2390127182,2.78170192242,0.626606650719,sand
108,5.77014160156,2.46612803141,2.31466698647,1.69637835026,2.1194306612,2.31466698647,2.6952663064,0.600234609453,sand
31,7.64068317413,4.80872468025,4.6701631546,2.77902722359,4.12036800385,4.6701631546,5.64631795883,1.07947487803,sand/gravel
20,5.92622852325,3.43670692444,3.12973546982,2.38772678375,2.82931387424,3.12973558903,3.772788167,0.897162163612,sand/gravel
87,6.60048961639,4.42021126583,4.46985530853,1.78466975689,3.77566432953,4.46985530853,5.00955867767,0.995995873448,gravel/boulders
64,6.65020895004,2.80280637741,2.55126261711,0.934648990631,1.83691245317,2.55126261711,3.5597755909,1.2227643174,sand
31,7.55685758591,4.51158978862,4.46071767807,2.85091567039,3.43903684616,4.46071767807,5.21932458878,1.24800785414,gravel/sand
37,6.7459025383,4.04676406448,4.06946849823,2.29324054718,3.23854088783,4.06946849823,4.7483716011,0.993799271711,gravel
16,4.75444316864,3.18993115425,3.24468874931,2.34591555595,2.56678277254,3.24468874931,3.5685210228,0.690377693362,sand/gravel
69,5.36958599091,3.38970372297,3.37448358536,1.68710315228,2.96047472954,3.37448358536,3.90412521362,0.686148997189,gravel
49,4.75888490677,3.01130831971,2.93136262894,2.0846619606,2.71402788162,2.93136262894,3.31443738937,0.563667139388,sand/gravel
21,3.38477540016,2.55092221215,2.36905145645,1.91503679752,2.27111840248,2.36905145645,2.86787772179,0.419342193035,sand
20,3.71521139145,2.80609321594,2.74838066101,2.0602209568,2.52473825216,2.74838066101,3.0656940341,0.413601808126,sand
6,2.50193142891,2.30678017934,2.31059098244,2.14897346497,2.23427987099,2.31059098244,2.34746128321,0.111368511579,sand
8,3.36369585991,2.77594995499,2.72835016251,2.25461053848,2.57020026445,2.72835028172,2.90308761597,0.332941316303,sand
34,3.53592181206,2.59205896714,2.56116366386,1.88406980038,2.27730298042,2.56116366386,2.81973266602,0.407452976529,sand/gravel
17,3.63594174385,2.3991616193,2.21857523918,2.08062529564,2.17620325089,2.21857523918,2.47557616234,0.398386553801,gravel
35,3.65539956093,2.47527335031,2.42198419571,1.47738182545,2.06820499897,2.42198419571,2.86699557304,0.515525131844,sand/gravel
26,5.89388132095,2.88321568416,2.61060976982,1.74661338329,2.36054003239,2.61060976982,3.01956862211,0.954187025245,sand
35,5.27983903885,3.84470302037,3.807254076,2.42055296898,3.44074141979,3.807254076,4.3218319416,0.654988816253,sand/gravel
14,6.43915319443,3.23754092625,2.59476947784,1.58806908131,2.1365673542,2.59476935863,3.83582538366,1.46684836962,sand
11,7.41290521622,4.73943190141,4.48408412933,2.86009573936,4.16086006165,4.48408412933,4.87739658356,1.29638823774,sand
19,9.36320590973,4.70419150905,3.98725008965,3.10113406181,3.60906660557,3.98725008965,4.92342019081,1.72641412858,sand/gravel
27,7.55685758591,4.47849556252,4.21017503738,2.56303453445,3.7464735508,4.21017503738,4.94963884354,1.04930639216,gravel
17,4.28957748413,3.29540364883,3.38101887703,1.67520904541,2.84101176262,3.38101887703,3.9146733284,0.719879476545,gravel
29,6.52554035187,4.38356202224,4.14233779907,3.02924275398,3.89941358566,4.14233779907,5.03997516632,0.8787324618,gravel
15,5.82158660889,4.73878122965,4.55690479279,3.41458964348,4.31402182579,4.55690479279,5.34317755699,0.657369813927,gravel/boulders
8,6.39950418472,5.17050647736,5.05923509598,4.2013759613,4.54819631577,5.05923509598,5.69037878513,0.74797878036,gravel
9,5.85047388077,3.88115141127,3.93284153938,2.26147651672,3.10261940956,3.93284153938,4.26188564301,1.11839260954,sand
11,10.3228349686,4.99250793457,4.70535707474,2.80030846596,4.24643039703,4.70535707474,5.21169090271,1.86539059798,sand/gravel
13,11.3896131516,8.20657876822,8.07581043243,4.5830206871,7.30085802078,8.07581043243,9.8252325058,1.8807309239,sand
40,3.69978380203,2.33762245178,2.26635622978,1.49935626984,2.0392113626,2.26635622978,2.55154901743,0.488272036641,sand
32,2.64311099052,2.03564167023,1.99371981621,1.39533829689,1.80956342816,1.99371987581,2.37335538864,0.34433521425,sand
41,2.71612668037,1.68768198897,1.63183903694,0.747781157494,1.31748723984,1.63183903694,2.05905222893,0.488996446294,sand
