count,max,mean,median,min,percentile_25,percentile_50,percentile_75,std,substrate
99,4.59468746185,4.0645767366,4.13773870468,2.93186473846,3.96452438831,4.13773870468,4.24930500984,0.309585116998,boulders
21,4.29053497314,4.12893313453,4.17207241058,3.65877628326,4.08477830887,4.17207241058,4.23318243027,0.155738703727,boulders
47,4.14674901962,3.63794594623,3.59185528755,3.31213235855,3.47254097462,3.59185528755,3.76042377949,0.198338811569,sand
36,3.82240319252,3.52234013875,3.5352563858,3.16952896118,3.45738089085,3.53525626659,3.58977001905,0.138123847955,sand
29,3.93490791321,3.70486502812,3.74833703041,3.3176472187,3.56677913666,3.74833703041,3.84591984749,0.170691394934,sand/gravel
29,3.84724068642,3.53264802078,3.5084965229,3.3023648262,3.44429445267,3.5084965229,3.62154150009,0.11855218886,sand
94,4.47337293625,4.07693968428,4.14866256714,2.2633190155,4.00134348869,4.14866256714,4.27211105824,0.349225898161,gravel/boulders
15,4.29153490067,3.80631841024,3.73712778091,3.45101881027,3.60747218132,3.73712778091,3.96351230145,0.227982404018,sand/gravel
22,4.39754390717,3.97326590798,4.09528398514,2.76745891571,4.01810252666,4.09528398514,4.19496881962,0.399778037144,gravel
15,4.09698963165,3.77536239624,3.76739501953,3.39077329636,3.56948888302,3.76739501953,3.97858190536,0.224218209953,sand/gravel
51,3.85645365715,3.47133980545,3.48700642586,3.1490187645,3.34679555893,3.48700642586,3.54647767544,0.156561551465,sand
44,3.8735871315,3.56275731867,3.55110645294,3.24533128738,3.48671913147,3.55110633373,3.62092107534,0.125203436764,sand
34,4.41003131866,3.84643330294,4.06463956833,2.63533091545,3.70106089115,4.06463956833,4.13980233669,0.465399956398,gravel/boulders
16,4.2227730751,3.91805052757,3.94926166534,3.58287787437,3.79510563612,3.94926166534,4.0427646637,0.176440652315,sand/gravel
12,4.43488883972,3.89971923828,3.99802041054,2.91998362541,3.87407046556,3.99802041054,4.13776230812,0.407359977744,gravel
6,4.31889200211,4.19706598918,4.18142032623,4.08850288391,4.10327160358,4.18142032623,4.29655992985,0.0979403228691,gravel
58,4.13348436356,3.38389245395,3.28957033157,2.9028737545,3.15257370472,3.28957021236,3.56371432543,0.299763706901,sand
10,4.15997743607,3.85429000854,3.92965531349,3.4293153286,3.76469999552,3.92965531349,3.98268085718,0.219774625457,gravel
14,3.78010034561,3.43840626308,3.38051247597,3.21664643288,3.33129668236,3.38051247597,3.52699226141,0.16055777018,sand
108,3.92759585381,3.42745067455,3.41661787033,3.14650154114,3.33380490541,3.41661787033,3.51386469603,0.13945037694,sand
31,4.30650043488,3.88562922324,3.91781210899,3.39009165764,3.7525254488,3.91781210899,4.02606749535,0.205201106202,sand/gravel
20,4.03931713104,3.67434539795,3.63123607635,3.46834421158,3.54456138611,3.63123607635,3.76137924194,0.166460554371,sand/gravel
87,4.24828767776,3.78092202373,3.79342079163,3.07094717026,3.65614140034,3.79342079163,3.99029648304,0.260359376478,gravel/boulders
64,3.96310639381,3.38311767578,3.45034837723,2.68689703941,3.12412393093,3.45034825802,3.65977185965,0.326450345723,sand
31,4.22633218765,3.89365411574,3.88717794418,3.58030676842,3.77613067627,3.88717794418,4.00819635391,0.172217084483,gravel/sand
37,4.21736860275,3.58461988294,3.81588578224,2.58158707619,3.04303216934,3.81588578224,3.95255422592,0.524310152329,gravel
16,3.92127227783,3.62670016289,3.60209798813,3.38876819611,3.4968675375,3.60209810734,3.72505068779,0.159838816389,sand/gravel
69,4.06147861481,3.70278355695,3.72158789635,3.15597605705,3.61673140526,3.72158789635,3.82522177696,0.166018178634,gravel
49,3.96285319328,3.62550603127,3.61664915085,3.39088153839,3.55881595612,3.61664915085,3.71389865875,0.140692125636,sand/gravel
21,3.79338502884,3.49972606841,3.44598388672,3.24181175232,3.42055821419,3.44598388672,3.59295392036,0.136845689209,sand
20,3.74206876755,3.56583862305,3.56817412376,3.34571862221,3.49806672335,3.56817412376,3.64256894588,0.111888113306,sand
6,3.58041572571,3.46667671204,3.45636367798,3.42194366455,3.43079596758,3.45636379719,3.46111536026,0.0534021108009,sand
8,3.66671895981,3.55606436729,3.54151701927,3.43756055832,3.52917569876,3.54151701927,3.59062570333,0.0679956356151,sand
34,3.72532057762,3.47381232767,3.48460912704,3.23147535324,3.36716747284,3.48460912704,3.54447329044,0.131566698131,sand/gravel
17,3.7346572876,3.42414990593,3.40033507347,3.25562477112,3.34999847412,3.40033507347,3.47880959511,0.110800313606,gravel
35,3.69319987297,3.41955152239,3.40775728226,3.02706933022,3.29826664925,3.40775728226,3.57013070583,0.168556322764,sand/gravel
26,4.02589464188,3.51728116549,3.48369169235,3.17206716537,3.39605903625,3.48369169235,3.6143309474,0.212582454453,sand
35,3.9921374321,3.79173671177,3.815928936,3.50764632225,3.71915340424,3.815928936,3.88285899162,0.11495570889,sand/gravel
14,4.11799621582,3.57211003985,3.47035217285,3.20885396004,3.37249970436,3.47035217285,3.7417422533,0.263895266165,sand
11,3.92771935463,3.74090506814,3.81856751442,3.39016294479,3.66408395767,3.81856751442,3.8593672514,0.169908727843,sand
19,4.07364034653,3.77896278783,3.80271697044,3.47415709496,3.64573228359,3.80271697044,3.88055682182,0.153554661402,sand/gravel
27,4.14237165451,3.87759936297,3.86745762825,3.44574761391,3.80492162704,3.86745762825,3.95445716381,0.142489524837,gravel
17,3.89869976044,3.62601583144,3.69755029678,2.58876466751,3.60084962845,3.69755029678,3.77540493011,0.290956890474,gravel
29,4.15333557129,3.73581248316,3.84939312935,2.97053647041,3.73420619965,3.84939312935,3.90769743919,0.31890788718,gravel
15,4.21350479126,3.96266911825,3.95517015457,3.77796053886,3.8957631588,3.95517015457,4.00103378296,0.116350958118,gravel/boulders
8,4.18411254883,4.01337814331,4.01407051086,3.8088312149,3.96390676498,4.01407027245,4.07714962959,0.109086145426,gravel
9,4.09992742538,3.71821085612,3.68945145607,3.42807674408,3.62667441368,3.68945145607,3.80153203011,0.181053392282,sand
11,4.10954904556,3.90712946112,3.87612199783,3.74453306198,3.81342279911,3.87612199783,4.00838899612,0.11863114598,sand/gravel
13,4.38845300674,4.11177796584,4.12859773636,3.78763055801,4.01045179367,4.12859773636,4.29295301437,0.192733453276,sand
40,3.68959331512,3.34935798645,3.35589385033,2.94882106781,3.22559404373,3.35589385033,3.45103770494,0.177543040842,sand
32,3.55698943138,3.28672981262,3.28940248489,2.97970104218,3.20952433348,3.28940236568,3.4089204073,0.149867330962,sand
41,3.55603671074,3.11738791117,3.13915991783,2.30020046234,2.97501516342,3.13915991783,3.38503789902,0.291511802374,sand
32,3.73499155045,3.36229491234,3.43928861618,2.63766169548,3.17681521177,3.43928873539,3.62223947048,0.292804152263,sand
24,3.69075226784,3.47499465942,3.47206068039,3.12967991829,3.39341187477,3.47206068039,3.58855640888,0.136014919935,sand
30,3.75288152695,3.43977711995,3.45179986954,3.06801605225,3.32403492928,3.45179998875,3.57649081945,0.177010285661,sand
30,3.7999818325,2.95253499349,3.01844978333,1.72948145866,2.79880547523,3.01844990253,3.31728726625,0.483456460401,sand
20,3.82206535339,3.57543563843,3.58434581757,3.31467032433,3.50836396217,3.58434569836,3.64036375284,0.123074285815,sand
66,4.24106121063,3.84489625873,3.85493469238,3.44094705582,3.66997140646,3.85493481159,4.04255342484,0.222233035701,gravel
10,4.35820817947,4.20589675903,4.21357059479,3.99866724014,4.10530030727,4.21357035637,4.31117844582,0.122943422127,boulders
114,3.89146327972,3.46391189307,3.49570226669,2.96839785576,3.31020087004,3.49570214748,3.65243297815,0.225434645514,sand
13,4.81439161301,4.30939659706,4.27462768555,3.96584200859,4.14239168167,4.27462768555,4.3915977478,0.211704080272,gravel
412,4.19578456879,3.34597482033,3.34812307358,2.71639299393,3.18159872293,3.34812319279,3.48809802532,0.233513625094,sand
